term,x,y
happy,206,38
joy,217,29
angry,-25,179
depressive,-182,-107
afraid,-91,179
exciting,11,43
bored,-77,-182
sad,-91,-199
relax,157,-92
calm,164,-161
sleep,5,-228
at ease,178,-137
melancholy,-9,-152
peaceful,127,-182
bitter,-183,57
tired,-4,-229
distress,-159,126
tense,-4,195
gloom,-197,-108
passionate,75,29
feel good,210,-18
glad,218,-39
pleasure,201,-25
desperate,-183,-114
anxious,-165,-185
delight,201,80
hopeful,141,-69
jealous,-14,128
amusing,125,42
alarm,-16,200
droopy,-71,-214
frustrated,-135,90
ambition,97,148
defiant,-137,163
worried,-16,-74
feel guilt,-91,-98
miserable,-212,-32
lonely,-214,-160
confident,117,-48
astonished_scherer,35,-30
suspicious,-71,59
distrustful,-107,22
apathetic,-46,-32
dissatisfied,-138,-39
disppointed,-183,-8
determined,169,59
longing,51,-98
startled,-208,8
light-hearted,96,66
courageous,187,133
astonished,97,203
impressive,89,-17
serious,51,-152
interested,148,3
lusting,51,192
uncomfortable,-152,-84
contemplative,134,-137
triumphant,148,178
