"","happy","sad","angry","relax"
"60s",85579,42370,1069,37190
"alternative metal",2388,6665,13059,2107
"ambient",28758,55282,623,181203
"angry",1779,2937,25328,556
"catchy",48361,11269,3451,9928
"chill",42286,48687,1753,105977
"chillout",61795,88131,1595,261218
"death metal",2291,4758,5554,2147
"disco",42668,2696,165,13589
"downtempo",18195,28563,1303,92254
"easy listening",24653,33283,405,66147
"fun",52307,5762,2286,9010
"funk",59096,9861,1975,24414
"grunge",7448,22614,17324,9042
"happy",194554,9347,1174,19431
"hardcore",11845,6261,13806,1596
"heavy metal",8771,12032,12047,4732
"house",47175,4434,150,28953
"industrial",5734,16761,24484,5229
"industrial metal",2357,4637,11464,1329
"instrumental",40338,43739,1415,131217
"lounge",19427,13764,211,87638
"melancholic",6000,58331,1161,25584
"melancholy",12863,81266,2650,39709
"metalcore",2311,6679,9241,1358
"new age",11683,10638,50,107559
"new wave",43212,28774,4715,13232
"nu metal",2788,7396,18260,2003
"oldies",104572,41740,767,55142
"political",2880,4756,8135,2322
"post-hardcore",5612,10096,7359,2962
"relax",12484,18473,414,146205
"relaxing",13293,18176,453,166051
"riot grrrl",1677,1526,6110,290
"sad",12276,231021,3899,37363
"screamo",4775,7509,5609,1274
"thrash metal",1016,3461,10331,1568
"trance",28122,7788,234,45908
"trip-hop",19639,32765,1119,78795
"upbeat",37904,4012,2299,7245
